,State,Year,Employed,Unemployed,HPI_NSA,HPI_SA,Total_Cases,Total_Death
216,TN,2019,3226046.0,113500.0,275.33,274.58,,
217,TN,2020,3055829.0,243598.0,300.74,299.94,43794633.0,538831.0
218,TN,2021,3185265.0,142706.0,362.74,361.74,354156998.0,4829336.0
219,TX,2017,12888027.0,585974.0,266.92,265.8,,
220,TX,2018,13149679.0,534341.0,282.71,281.51,,
221,TX,2019,13381026.0,490766.0,296.01,294.74,,
222,TX,2020,12808620.0,1062260.0,315.43,314.11,157034957.0,3281869.0
223,TX,2021,13413042.0,807411.0,369.45,367.88,1191617013.0,20007291.0
224,UT,2017,1505412.0,48939.0,365.26,363.56,,
225,UT,2018,1537390.0,46315.0,402.05,400.19,,
226,UT,2019,1576421.0,41634.0,434.66,432.64,,
227,UT,2020,1562800.0,77628.0,483.9,481.74,20060636.0,111526.0
228,UT,2021,1636150.0,45344.0,611.4,608.58,162672795.0,911564.0
229,VA,2017,4193292.0,159689.0,241.72,240.69,,
230,VA,2018,4255217.0,129448.0,253.34,252.3,,
231,VA,2019,4332648.0,123172.0,264.86,263.77,,
232,VA,2020,4097864.0,270917.0,284.91,283.77,32847799.0,668987.0
233,VA,2021,4100808.0,166858.0,325.65,324.3,263816216.0,4077393.0
234,VT,2017,344698.0,10685.0,224.47,224.69,,
235,VT,2018,347124.0,9331.0,230.86,231.01,,
236,VT,2019,347600.0,8352.0,243.38,243.54,,
237,VT,2020,322078.0,19059.0,260.05,260.29,523941.0,16595.0
238,VT,2021,316940.0,11274.0,310.24,310.47,9415192.0,98731.0
239,WA,2017,3554756.0,172930.0,324.76,322.55,,
240,WA,2018,3644274.0,169046.0,357.22,354.78,,
241,WA,2019,3764632.0,169141.0,380.42,377.83,,
242,WA,2020,3596815.0,332663.0,421.1,418.28,21287817.0,487233.0
243,WA,2021,3708740.0,204774.0,505.47,502.0,184496678.0,2341020.0
244,WI,2017,3039350.0,102408.0,239.54,238.49,,
245,WI,2018,3036072.0,93316.0,255.94,254.83,,
246,WI,2019,3021493.0,99104.0,271.29,270.11,,
247,WI,2020,2909004.0,196878.0,292.74,291.52,37967887.0,410066.0
248,WI,2021,3016040.0,118404.0,334.54,333.06,267338308.0,2973152.0
249,WV,2017,743786.0,40956.0,206.2,205.56,,
250,WV,2018,752729.0,40990.0,211.79,211.2,,
251,WV,2019,757485.0,39293.0,221.08,220.52,,
252,WV,2020,719175.0,63852.0,228.11,227.48,4681178.0,84123.0
253,WV,2021,749132.0,39696.0,256.76,256.02,68568419.0,1154412.0
254,WY,2017,281164.0,12640.0,326.55,323.99,,
255,WY,2018,280910.0,11872.0,338.09,335.45,,
256,WY,2019,283378.0,11003.0,356.11,353.29,,
257,WY,2020,276740.0,16984.0,380.98,378.01,2591294.0,20735.0
258,WY,2021,277374.0,13033.0,432.07,428.65,26502914.0,316182.0
